WordID	Kanji	Onyomi	Kunyomi	English	JLPT Level	Category
1	日	ニチ ジツ -	ひ -び	day, sun, Japan	N5	Kanji
2	一	イチ イツ ヒト.	ひと-	one	N5	Kanji
3	国	コク ク		country	N5	Kanji
4	人	ジン ニン -	ひと -り	person	N5	Kanji
5	年	ネン ト		year	N5	Kanji
6	大	ダイ タイ -オオ.イ	おお- おお.きい	large, big	N5	Kanji
7	十	ジュウ ジッ ジュッ	とお	ten	N5	Kanji
8	二	ニ ジ フタタ.	ふた ふた.つ	two	N5	Kanji
9	本	ホン モ		book, present, main, true, real, counter for long things	N5	Kanji
10	中	チュウ アタ.	なか うち	in, inside, middle, mean, center	N5	Kanji
11	長	チョウ オ	なが.い	long, leader	N5	Kanji
12	出	シュツ スイ イ.ダ	で.る -で だ.す -だ.す い.でる	exit, leave	N5	Kanji
13	三	サン ゾウ ミッ.	み み.つ	three	N5	Kanji
14	時	ジ -ド	とき	time, hour	N5	Kanji
15	行	コウ ギョウ アン オコ.ナ	い.く ゆ.く -ゆ.き -ゆき -い.き -いき おこな.う	going, journey	N5	Kanji
16	見	ケン	み.る み.える み.せる	see, hopes, chances, idea, opinion, look at, visible	N5	Kanji
17	月	ゲツ ガツ ツ		month, moon	N5	Kanji
18	後	ゴ コウ オク.レ	のち うし.ろ うしろ あと	behind, back, later	N5	Kanji
19	前	ゼン -マ	まえ	in front, before	N5	Kanji
20	生	セイ ショウ -	い.きる い.かす い.ける う.まれる う.まれ うまれ う.む お.う は.える は.やす き なま なま- な.る	life, genuine, birth	N5	Kanji
21	五	ゴ イツ.	いつ	five	N5	Kanji
22	間	カン ケン	あいだ ま あい	interval, space	N5	Kanji
23	上	ジョウ ショウ シャン ヨ.	うえ -うえ うわ- かみ あ.げる -あ.げる あ.がる -あ.がる あ.がり -あ.がり のぼ.る のぼ.り のぼ.	above, up	N5	Kanji
24	東	トウ ヒガ		east	N5	Kanji
25	四	シ ヨ	よ よ.つ よっ.つ	four	N5	Kanji
26	今	コン キン イ		now	N5	Kanji
27	金	キン コン ゴン -ガ	かね かな-	gold	N5	Kanji
28	九	キュウ ク ココノ.	ここの	nine	N5	Kanji
29	入	ニュウ ジュ ハイ.	い.る -い.る -い.り い.れる -い.れ	enter, insert	N5	Kanji
30	学	ガク マナ.		study, learning, science	N5	Kanji
31	高	コウ タカ.メ	たか.い たか -だか たか.まる	tall, high, expensive	N5	Kanji
32	円	エン マロ.ヤ	まる.い まる まど まど.か	circle, yen, round	N5	Kanji
33	子	シ ス ツ	こ -こ	child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac	N5	Kanji
34	外	ガイ ゲ	そと ほか はず.す はず.れる と	outside	N5	Kanji
35	八	ハチ ヨ	や や.つ やっ.つ	eight	N5	Kanji
36	六	ロク リク ム	む む.つ むっ.つ	six	N5	Kanji
